R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
1.4,2.45,0.187047619,0.44316519,0.467619048,0.305631165
1.4,2.6,0.187047619,0.45730083,0.467619048,0.285813019
1.4,2.75,0.187047619,0.469591584,0.467619048,0.268338048
1.4,2.9,0.187047619,0.48036503,0.467619048,0.2528237
1.4,3.05,0.187047619,0.489878159,0.467619048,0.238964955
1.4,3.2,0.187047619,0.498334914,0.467619048,0.22651587
1.4,3.35,0.187047619,0.505898847,0.467619048,0.215276105
1.4,3.5,0.187047619,0.512702388,0.467619048,0.205080955
1.4,3.65,0.187047619,0.518853722,0.467619048,0.195793857
1.4,3.8,0.187047619,0.524441958,0.467619048,0.187300699
1.4,3.95,0.187047619,0.529541058,0.467619048,0.179505443
1.4,4.1,0.187047619,0.534212846,0.467619048,0.172326725
1.4,4.25,0.187047619,0.538509348,0.467619048,0.165695184
1.4,4.4,0.187047619,0.542474615,0.467619048,0.159551357
1.4,4.55,0.187047619,0.546146166,0.467619048,0.15384399
1.4,4.7,0.187047619,0.549556129,0.467619048,0.148528683
1.4,4.85,0.187047619,0.552732162,0.467619048,0.143566795
1.4,5,0.187047619,0.555698189,0.467619048,0.138924547
1.4,5.15,0.187047619,0.558474999,0.467619048,0.134572289
1.4,5.3,0.187047619,0.561080737,0.467619048,0.130483892
1.4,5.45,0.187047619,0.563531305,0.467619048,0.126636248
1.4,5.6,0.187047619,0.565840693,0.467619048,0.123008846
1.4,5.75,0.187047619,0.568021257,0.467619048,0.119583422
1.4,5.9,0.187047619,0.570083944,0.467619048,0.116343662
1.4,6.05,0.187047619,0.572038492,0.467619048,0.113274949
1.4,6.2,0.187047619,0.573893586,0.467619048,0.110364151
1.4,6.35,0.187047619,0.575656995,0.467619048,0.107599438
1.4,6.5,0.187047619,0.577335693,0.467619048,0.104970126
1.4,6.65,0.187047619,0.578935956,0.467619048,0.102466541
1.4,6.8,0.187047619,0.580463445,0.467619048,0.100079904
1.4,6.95,0.187047619,0.581923282,0.467619048,0.097802232
1.4,7.1,0.187047619,0.583320111,0.467619048,0.095626248
1.4,7.25,0.187047619,0.584658153,0.467619048,0.093545304
1.4,7.4,0.187047619,0.585941252,0.467619048,0.091553321
1.4,7.55,0.187047619,0.58717292,0.467619048,0.089644721
1.4,7.7,0.187047619,0.588356366,0.467619048,0.087814383
1.4,7.85,0.187047619,0.589494534,0.467619048,0.086057596
1.4,8,0.187047619,0.590590126,0.467619048,0.084370018
1.55,0.5,0.216422043,-2.01E-14,0.393494624,0.83747005
1.55,0.65,0.216422043,-1.10E-13,0.393494624,0.83747005
1.55,0.8,0.216422043,1.24E-11,0.393494624,0.83747005
1.55,0.95,0.216422043,1.67E-06,0.393494624,0.837468137
1.55,1.1,0.216422043,0.075057453,0.393494624,0.750574522
1.55,1.25,0.216422043,0.161849896,0.393494624,0.647399583
1.55,1.4,0.216422043,0.226973185,0.393494624,0.567432964
1.55,1.55,0.216422043,0.277118961,0.393494624,0.503852656
1.55,1.7,0.216422043,0.316571001,0.393494624,0.452244286
1.55,1.85,0.216422043,0.348183548,0.393494624,0.409627704
1.55,2,0.216422043,0.373920677,0.393494624,0.373920677
1.55,2.15,0.216422043,0.395170394,0.393494624,0.343626429
1.55,2.3,0.216422043,0.412935911,0.393494624,0.317643009
1.55,2.45,0.216422043,0.427956489,0.393494624,0.295142406
1.55,2.6,0.216422043,0.440786179,0.393494624,0.275491362
1.55,2.75,0.216422043,0.4518465,0.393494624,0.258198
1.55,2.9,0.216422043,0.461462485,0.393494624,0.242874992
1.55,3.05,0.216422043,0.469887832,0.393494624,0.229213577
1.55,3.2,0.216422043,0.477322778,0.393494624,0.216964899
1.55,3.35,0.216422043,0.483926975,0.393494624,0.205926372
1.55,3.5,0.216422043,0.489828925,0.393494624,0.19593157
1.55,3.65,0.216422043,0.495132961,0.393494624,0.186842627
1.55,3.8,0.216422043,0.499924484,0.393494624,0.178544459
1.55,3.95,0.216422043,0.504273926,0.393494624,0.170940314
1.55,4.1,0.216422043,0.508239792,0.393494624,0.16394832
1.55,4.25,0.216422043,0.511870999,0.393494624,0.157498769
1.55,4.4,0.216422043,0.515208706,0.393494624,0.151531972
1.55,4.55,0.216422043,0.518287751,0.393494624,0.14599655
