R_0_1,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
1.25,2.15,0.139583333,0.419968722,0.558333333,0.365190193
1.25,2.3,0.139583334,0.440592441,0.558333332,0.338917262
1.25,2.45,0.139583333,0.458315246,0.558333333,0.31607948
1.25,2.6,0.139583333,0.473692269,0.558333333,0.296057668
1.25,2.75,0.139583333,0.487149216,0.558333333,0.27837098
1.25,2.9,0.139583333,0.499017266,0.558333333,0.262640667
1.25,3.05,0.139583333,0.509557418,0.558333334,0.248564594
1.25,3.2,0.139583333,0.518977778,0.558333333,0.23589899
1.25,3.35,0.139583333,0.527446056,0.558333333,0.22444513
1.25,3.5,0.139583333,0.535098734,0.558333333,0.214039494
1.25,3.65,0.139583335,0.542047875,0.55833333,0.204546368
1.25,3.8,0.139583334,0.548386257,0.558333333,0.195852235
1.25,3.95,0.139583334,0.554191276,0.558333332,0.187861449
1.25,4.1,0.139583333,0.559527961,0.558333333,0.180492891
1.25,4.25,0.139583334,0.564451306,0.558333333,0.173677325
1.25,4.4,0.139583334,0.56900811,0.558333333,0.167355327
1.25,4.55,0.139583333,0.573238424,0.558333333,0.161475612
1.25,4.7,0.139583333,0.57717671,0.558333333,0.155993705
1.25,4.85,0.139583333,0.580852772,0.558333335,0.15087085
1.25,5,0.139583334,0.584292508,0.558333332,0.146073127
1.25,5.15,0.139583333,0.587518525,0.558333333,0.141570729
1.25,5.3,0.139583333,0.590550636,0.558333333,0.137337357
1.25,5.45,0.139583333,0.593406279,0.558333333,0.133349726
1.25,5.6,0.139583333,0.596100858,0.558333333,0.129587143
1.25,5.75,0.139583333,0.59864803,0.558333333,0.126031164
1.25,5.9,0.139583333,0.601059944,0.558333333,0.122665295
1.25,6.05,0.139583333,0.603347442,0.558333333,0.119474741
1.25,6.2,0.139583333,0.605520229,0.558333333,0.116446198
1.25,6.35,0.139583333,0.607587019,0.558333333,0.113567667
