p,R_0_2,Ieq_obt_1,Ieq_obt_2,Seq_obt_1,Seq_obt_2
0.061,6.05,-3.33E-12,-6.97E-12,8.67E-18,1.92E-13
0.061,6.2,3.41E-14,1.24E-13,1.47E-20,3.16E-20
0.061,6.35,-2.46E-15,-6.77E-15,2.14E-26,5.67E-18
0.061,6.5,-5.34E-15,1.53E-14,7.44E-22,-3.60E-15
0.061,6.65,1.49E-13,1.38E-13,4.50E-21,3.28E-20
0.061,6.8,5.71E-16,-1.89E-14,1.49E-25,1.32E-15
0.061,6.95,5.80E-15,1.37E-14,2.27E-26,-5.65E-21
0.061,7.1,-3.21E-15,-7.55E-15,-9.02E-27,-1.62E-16
0.061,7.25,3.74E-13,6.91E-13,-1.21E-20,7.31E-15
0.061,7.4,2.16E-15,5.25E-15,7.37E-22,-3.21E-19
0.061,7.55,-1.08E-14,-2.67E-14,5.16E-25,1.01E-19
0.061,7.7,1.33E-15,1.05E-14,-4.36E-20,-3.09E-20
0.061,7.85,-2.06E-13,-3.01E-13,9.24E-20,7.56E-16
0.061,8,5.35E-12,1.08E-11,-3.24E-18,-4.71E-18
0.081,0.5,1.23E-12,-9.36E-19,-1.15E-11,-3.62E-10
0.081,0.65,-1.19E-12,4.50E-13,2.59E-13,-4.32E-10
0.081,0.8,1.29E-14,-1.07E-12,-1.34E-15,6.15E-12
0.081,0.95,-6.17E-14,-2.87E-11,2.76E-16,1.01E-10
0.081,1.1,1.42E-12,-4.22E-12,-8.63E-17,2.91E-11
0.081,1.25,-6.15E-13,-2.35E-12,5.51E-18,-2.32E-16
0.081,1.4,2.07E-16,3.62E-13,-2.64E-18,-1.29E-12
0.081,1.55,7.52E-16,-3.86E-13,-2.72E-23,2.14E-12
0.081,1.7,1.94E-16,3.40E-12,-2.96E-19,-1.18E-11
0.081,1.85,8.55E-16,1.12E-14,-2.32E-18,-2.04E-14
0.081,2,1.76E-12,6.30E-12,-3.52E-19,1.03E-17
0.081,2.15,1.64E-11,6.41E-11,9.62E-18,-1.54E-13
0.081,2.3,4.06E-12,1.53E-11,5.85E-17,2.03E-14
0.081,2.45,-8.20E-12,-1.87E-11,-6.35E-17,-1.04E-13
0.081,2.6,-2.37E-11,2.09E-11,1.33E-17,-7.28E-16
0.081,2.75,-2.03E-15,7.38E-12,3.38E-22,-2.52E-11
0.081,2.9,-4.51E-11,-1.93E-10,2.54E-17,2.91E-16
0.081,3.05,-1.59E-14,-1.00E-12,-8.90E-21,-2.45E-13
0.081,3.2,3.74E-12,7.07E-12,-8.48E-18,-1.07E-16
0.081,3.35,-5.49E-11,-1.71E-10,-2.84E-17,-7.08E-15
0.081,3.5,-2.67E-13,-1.35E-12,2.73E-20,7.73E-14
0.081,3.65,-2.80E-13,-7.62E-13,-2.36E-19,-1.53E-18
0.081,3.8,4.02E-13,2.83E-12,-4.04E-25,4.86E-16
